,People,This label represents opinions about humans or human behavior.,
,Object,"This label evaluates a concrete, consumable, or experienceable thing.",
,Systems,"This labels defines posted opinions about organized structures in society that often include institutions, rules, systems, social structures. Example post:",
,Ideas,"The opinion directly evaluates an abstract belief, value, or claim about truth.",
,,,
,,,
Label,CH answers,Post or comment,notes
,,,
objects,Object,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere """,
,,,
objects,Object,"""Hot bus changes everything. I have smelled Popeye’s on the bus and felt deep hatred I’m so sorry Popeye it was the bus""",
,,,
systems,Systems,"""It's July, have you started your Christmas shopping yet?""",
,,,
ideas,Systems,"""People have the wrong idea about math and the benefit of learning math. """,was confused if it was about  an idea or people 
,,,
ideas,People,"""Humans are naturally bi """, is this an idea about sexuallity or about people being bisexual 
,,,
Ideas,Ideas,"""Growing older is not the curse people make it out to be. It's actually a blessing. """,
,,,
people,Ideas,"""People who hog overhead bins with personal items and small bags are ruining flights for everyone.""",
,,,
objects,Systems,"""If locally-owned grocery stores want your money, they need to provide comparable prices to the corporations. """,
,,,
people,People,"""Women get shamed for spending money on skincear but nobody says anything when men drop thousands on sneakers, gaming setups, or golf clubs """,
,,,
objects,Ideas,"""Chicago has a better cityscape than New York City """,
,,,
ideas,People,"""In sports, there's no point in absolutely thrashing a demonstrably weaker team. Just do enough to win.""",
,,,
ideas,Ideas,"""The massive fear of being ""cringe"" is one of the biggest enemies of creativity. """,
,,,
ideas,Ideas,"""Unconditional love is the biggest lie """,
,,,
ideas,Ideas,"""The era of acceptance has created an opposite effect """,
,,,
systems,Ideas,"""I don't like holidays""",is this about people or a system of things
,,,
objects,Ideas,"""Iceberg is the worst lettuce""",
,,,
objects,Ideas,"""You don’t understand architecture is not a valid defense of ugly buildings""",is this about people understanding or the object itself?
,,,
ideas,Ideas,"""Quitting your job to chase a dream should be encouraged""",
,,,
objects,Ideas,"""Vehicle Classes Are Ultra Important When OffRoading and Modifying Vehicles""",
,,,
ideas,Ideas,"""Making friends in your 30s is not as hard as everyone claims it to be""",
,,,
objects,Objects,"""Possums are Cute!!! """,
,,,
objects ,Ideas,"""All businesses should prioritize stalls over urinals """,
,,,
ideas ,Ideas,"""Being 10 minutes early is just as inconsiderate as being 10 minutes late. """,
,,,
people,Ideas,"""The only reason we are unhappy is that we constantly compare ourselves to others """,is this an idea about people or people behavior 
,,,
objects,Ideas,"""Iron Lung and The Backrooms only did as well as they did because YouTubers made them.""",?
,,,
ideas,Objects,"""Toxic Fandoms are inevitable sign of excellence and should be encouraged """,
,,,
objects,Ideas,"""McDonald's coffee is better than Starbucks""",
,,,
ideas,Ideas,"""Everyone should be an archivist """,
,,,
people,People,"""When I ask a question on a help forum, I don’t want to be texted a youtube video and told “Just watch this” .""",
,,,
ideas,Ideas,"""People who fantasize about living through an apocalypse or growing up in primitive times have no idea how ass living in times like that would actually be. """,
,,,
objects,Objects,"""Golf and tennis should not be 'silent' sports.""",
,,,
people,,"""You can always tell when the guitarist writes a song """, is this about a guitar or the person playing?
,,,
people,,"""I Don't Think Artists Own ""Art Styles"". """,
,,,
ideas,,"""The word ""dystopia"" is so overused that it detracts from the validity of otherwise valid points.""",
,,,
ideas,,"""Being dependent on cellphones isnt as big an issue as many think""",
,,,
objects,,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere""",
,,,
ideas ,,"""Exercise should be prescribed with the same seriousness as medication. """,
,,,
objects,,"""Big weddings are worth it. """,
,,,
people,,"""The hate that Dwayne the Rock Johnson gets is undeserved.""",
,,,
objects,,"""BLUE DENIM IS NOT A NEUTRAL!!!!!! """,
,,,
systems,,"""Cost of Living is more important than Schools and Healthcare when ranking States and Cities""",
,,,
systems,,"""Saying that New York has no meaningful economic growth is laughable. Like actually I laughed out loud reading that. NYC alone is responsible for 10% of US GDP growth""",
,,,
systems,,"""A cost of living metric that ignores the quality of the living in question is useless. """,
,,,
people,,"""Most adults are perfectly capable of getting themselves to and from the airport.""",
,,,
people,,"""People who lay on their horn for more than 10 seconds are worse than the person who made them honk """,
,,,
objects ,,"""Uncooked smoores are better than cooked smoores""",
,,,
objects,,"""Gift cards are one of the best gifts to recieve """,
,,,
systems,,"""Y’all should stop fighting over what measurement system is “better”. """,
,,,
ideas,,"""Not every friendship is supposed to last forever. """,
,,,
systems,,"""Going to university isn't worth it anymore""",borders systems and ideas
,,,
systems,,"""Excess noise levels that you or your property creates, should be subject to a year end tax """,
,,,
ideas,,"""Darth Vader was justified and the jedi order was wrong from the beginning. """,
,,,
objects,,"""McDonalds is the best fast food for losing weight. """,
,,,
people ,,"""Showering before the gym is better """,a behavoir about people 
,,,
systems,,"""HR are more benign than evil """,
,,,
people ,,"""Syd Barrett is mostly celebrated just because he had a tragic life. His music is not that good""",
,,,
people,,"""The way people talk about getting your period for the first time is gross and antiquated """,
,,,
objects,,Watching TV is always better in darkness than in light. ,
,,,
objects,,"""What's the most powerfully useful underground website that most people don't know about?""",
,,,
ideas ,,"""No one understands what introvert and extrovert mean. """,
,,,
ideas,,"""Having fewer choices makes people happier""",
,,,
objects,,"""Electron apps are completely adequate """,
,,,
ideas,,"""It’s rude to just slowly walk across an intersection when cars at a light/stop sign are waiting to turn.""",
,,,
objects,,"""Relaxing on a beach is horrible """,is a feeling people are getting or the beach?
,,,
objects,,"""Boiled eggs are the worst form of egg """,
,,,
objects,,"""The egg wgite doesn't have to be rubbery. The yolk doesn't have to be solid. Eggs can be boild a few ways and hard isn't one of them.""",
,,,
ideas,,"""“The heart wants what it wants” is just an excuse for awful romantic choices """,
,,,
people,,"""Millionaires and billionaires are not inherently bad people. """,
,,,
people,,"""Michael Jackson was, is, and will be the greatest musician and public figure of all time """,
,,,
peope,,"""So was Prince, The Beatles, The Ring Stones. Whitney Hudson. The top of the list crowded. And Michael Jackson was not a good person. Not his fault entirely, but as a public figure, he was questionable at best. """,
,,,
ideas ,,"""Asking if something is homemade or 'Did you make it yourself?' is an insult """,
,,,
objects,,"""Instead of faster and faster PC hardware, we should fix screen technology to get more out of our gaming pc's""",
,,,
objects,,"""It's not the old people, it's the overcomplicated new tech """,
,,,
objects,,"""Fresh cut flowers are a nightmarish waste of time and resources, and are not worth the aesthetics """,
,,,
ideas,,"""To not stay current with technology is a moral failure """,
,,,
objects,,"""All Houses should be Worth Millions ",
,,,
objects,,"""No-kill Animal Shelters have hobbled the ability of Animal Control to actually 'control' this problem. """,
,,,
people,,"""Sitting “Indian Style” has nothing to do with Native Americans.""",
,,,
object,,"""A datacenter moving into your neighborhood is fine """,
,,,
systems,,"""Nepotism within the confines a family owned buisness isn't wrong. """,
,,,
objects,,"""Sports has to be most wasteful thing ever for society """,
,,,
people,,"""Tobey Maguire wasn't a great Spider-Man """,
,,,
people,,"""Unpopular opinion but The Rolling Stones were never that good and were never in the same league as The Beatles """,
,,,
people,,"""I feel like people should stop treating 16-17 year olds like they're 5-10. """,
,,,
systems,,"""People skills and “who you know” will always matter in the professional world, and that isn’t unfair """,
,,,
objects ,,"""Adult Diapers are way more convenient """,
,,,
systems,,"""Only online school should be free.""",
,,,
people ,,"""People working in high finance should not be respected """,
,,,
objects,,"""Raisins are superior to chocolate chips in any sweet bake """,
,,,
objects,,"""Pimple patches look more gross than the pimple itself """,
,,,
systems,,"""Car inspections are pointless""",
,,,
systems,,"""In some cases a no socks rule in the house makes sense. """,
,,,
ideas,,"""I believe Wicked was completely ruined because it was casted with ""star-power"" rather than newer, undiscovered talent. I also think it would have grossed more money without the stars too.""",
,,,
systems,,"""Drivers should be required to pass a written and road test in order to renew their driver’s license every 10 years until they are 55, then every 5 years after that """,
,,,
ideas ,,"""The Idea That ""Nobody Will Love You If You Don't Love Yourself"" Is Toxic """,
,,,
systems,,"""USA consequences for driving without insurance are completely useless """,
,,,
objects ,,"""Having permanent Christmas Lights installed on your house is tacky and takes away from what makes Christmas Lights special. """,
,,,
systems,,"""SUV drivers should have to have higher Liability limits on their insurance """,
,,,
objects,,"""Travelling abroad to only end up partying is pointless """,
,,,
ideas,,"""Half the bad decisions in the world happen just because someone wanted a power trip. """,
,,,
objects ,,"""Computer games can be a very social activity and underpin an active, healthy social life """,
,,,
systems,,"""The society puts white- collar jobs on a pedastal but it is the skilled tradespeople that keeps everyday life functioning""",
,,,
ideas,,"""Life is 90% how you take it and 10% how you make it. """,
,,,
people ,,"""The hatred for participation trophies is one of the weirdest cultural obsessions we've created. """,
,,,
systems,,"""We should absolutely leave some children behind """,could be confused with an idea.
,,,
objects ,,"""African Elephants should be called Loxodonts """,
,,,
people,,"""micro toxic people are worse than fully toxic people """,people vs ideas. The target is people 
,,,
objects,,"""Cloth car seats are better than leather. """,
,,,
ideas ,,"""We’ve reached a point where basic manners get labeled as ‘being a kiss-ass. """,
,,,
systems,,"""Privately owned and operated companies are infinitely better than public ones """,
,,,
systems,,"""Unless they are tiny, most private companies have boards as well. Also law firms, consulting companies and whatnot are notorious for treating their employees terribly, and they are all private. """,
,,,
ideas,,"""Marriage isn't bad and the people who say it is just don't know how to maintain a relationship """,
,,,
objects,,"""Chocolate is the worst flavour """,
,,,
systems,,"""There aren't enough traffic wardens giving people tickets """,
,,,
systems,,"""Why does every parent need to pickup their child from school? Why don't kids take the bus? """,
,,,
systems,,"Why would having the ability to report and fine a legitimately/dangerously parked vehicle be a terrible idea?""",
,,,
ideas ,,"""If you do a kind thing for someone, telling the whole world about it erases the good deed. """,
,,,
objects,,"""It's ok to like well done steak """,
,,,
objects,,"""American BBQ side salads taste better mixed """,
,,,
ideas,,"""Advertisements should be allowed to curse """,
,,,
objects,,"""Hide and Seek as a game kinda sucks """,idea or an experience?
,,,
objects,,"""All incense smells the same when you burn it. """,
,,,
objects,,"""Hide and Seek as a game kinda sucks""",
,,,
people,,"""People care too much about how others eat their food """,
,,,
people,,"""Shaming People for Forgiving Someone Is Weird """,
,,,
objects,,"""Hotels Shouldn’t Have Bathtubs """,
,,,
objects ,,""" I love taking baths on vacation in hotels when I have the time to relax. Plus, this is usually how people bath their kids.""",
,,,
people ,,"""People miss out on a lot playing games on easy mode and their opinion games doesn't weigh as much """,
,,,
ideas ,,"""Cutting people off without a conversation isn't a sign of growth, healing, or protecting your peace. It's just avoiding communication. """,
,,,
people,,"""Wanting to provide for someone, and for them to be happy, is COMPLETELY different from actually caring about them""",
,,,
systems,,"""Single tax is used as an excuse to make couples pay more on group travel ",
,,,
objects,,"""We don't need light rail, or streetcars - we have buses, and you're just too classist to use them """,
,,,
objects,,"""after freshly baked, the best way to eat a croissant is microwaved""",
,,,
ideas,,"""Friendzone is absolutely real """,
,,,
objects,,"""Frosting is disgusting """,
,,,
objects ,,"""I didn't realize people like toasted marshmallows that didn't catch fire for at least a few seconds."". ",
,,,
people,,"""People need to be more self aware about their bias. """,
,,,
people,,"""'Wreck of the Edmund Fitzgerald isn't Gordon Lightfoot's best song about a shipwreck""",
,,,
people,,"""Tarantino's last great film was in 1997 """,
,,,
people,,"""Open toed shoes (ESP FLIP FLOPS) are the worse clothing item ever """,
,,,
objects,,"""Mega City views are more unique and thus beautiful than natural views """,
,,,
people ,,"""Jason Paige did nothing wrong.""",
,,,
ideas,,"""The “Doghouse” Is Just a Cute Name for Having No Backbone in Your Relationship """,
,,,
objects ,,"""Sheep/lamb testicles are delicious """,
,,,
objects,,"""I recommend trying them in an Arab country, if you can’t, get an arab video tutorial on how to cook them and turn it on subtitles follow the instructions very clearly on how to cook them """,
,,,
objects ,,"""When I was in the Air Force, stationed at Malmstrom Air Force Base in Montana, I made sure that I never knew what I was eating when my hunter friends gave me food. This ensured that I was never biased before taking a bite. I would have never eaten bear, raccoon, rabbit and all the other critters they put in front of me on my own and they made everything taste great.",
,,,
ideas,,"""Life would be generally improved if people were taught statistics better """,
,,,
ideas ,,"""You should always buy the cheapest version of a tool or hobby item first. """,
,,,
ideas,,"""Grammar nazis are annoying, but your proclamation is far too broad. It's akin to saying ""as long as you can get from point a to point b, it doesn't matter if the road is bumpy, the speed limits make no sense and the road signs are confusing""""",
,,,
objects,,"""Early 2000s metalcore is superior to modern metalcore """,
,,,
objects,,"""That game “gossip harbor “ and other related games should be removed from app stores or at least not shown in ads""",
,,,
people,,"""People expect adult mental capacity from children. """,is it an idea or about peeple behavior
,,,
objects,,"""The reason every video game announcement is called bad is because not every game is made for you. """,
,,,
systems,,"""Proposing at restaurants is weird. """,is this systems or people behavior 
,,,
people ,,"""Breaking up via text or call is good for both sides """,is this people behavior or systems norms?
,,,
people ,,"""Ive never minded getting broke up with over text or the phone.""",
,,,
objects,,"""Spoilers don't ruin a movie or TV show. If a story is genuinely good, knowing it before-hand should not ruin the experience.""",
,,,
objects,,"""The original Star Wars trilogy is not as good as people think""",
,,,
objects ,,""" A taxon is just a group. The elephants all belong to the family Elephantidae though. So, they are the same taxa. You are just prioritizing genus for some reason.""",
,,,
objects,,"""Personally, I think the bar for good horror is low at least compared to other genres like (children's) animation.""",
,,,
objects ,,"""Opposition to the ""big light"" comes from everyone buying cheap ceiling lights """,
,,,
ideas ,,"""Subtitles take away from movies heavily """,
,,,
people ,,"""

As I get, I played video games. When I lost, it was INFURIATING. That was at 6. I understood winning and losing early. It's something all kids get.""",
,,,
ideas,,"""The whole “watching someone sleep” trope is not very creepy at all""",
,,,
ideas,,"""Okay but usually it's someone invading someone else's space to do it, like Edward in Twilight, that's the creepy part.""",is this people behavior or an idea?
,,,
objects,,"""Dark mode is objectively worse for reading and focus than light mode.""",
,,,
objects,,"""At least i won't go blind from looking at white screen """,
,,,
systems,,"""Speed Cameras are a good thing.",
,,,
systems,,"""Idk, it doesn't take context into account, you could be going 10 over in the middle of the night with no one around and I just think it sets a bad precedent.""",
,,,
systems,,"""As someone who grew up in a city with speed cameras all over the town: it may start with a good intention, like what you are saying, but politicians will soon make it turn into revenue.""",
,,,
ideas,,""" Blind/deaf jokes are BORING """,
,,,
systems,,"""Living together before marriage is not necessary if you actually pay attention while dating""",
,,,
systems,,"
“Again, if you don't come from a culture that prioritizes marriage you probably were not dating with the intention of marriage and really paying attention to their living habits.” Tells me everything I need to know about your condescending (not unpopular) opinion.""",
,,,
ideas ,,"""People don't understand assumptions. """,
,,,
ideas ,,"""People are results oriented. Commonly seen in gambling as well. """,
,,,
ideas ,,"""Your comment somehow reads equal parts cringe, wannabe ""hype man"", and ""hello fellow kids"" in such a short sentence. I don't know how you did it.""",
,,,
people,,Cruelty towards bugs should be treated at the same level as cruelty towards mammals.,people  behavior or ideaa
,,,
people,,"""Bryan Johnson’s longevity experiment is interesting and admirable and should not be mocked """,
,,,
people ,,""" I felt the same. I was kinda onboard with what he was doing, but now that he’s selling a bunch of supplements I think he’s just doing it all to make more money, and market it is good for society""",
,,,
systems,,"""Credit card debt is the devil and all rich people's income by syphoning off the poor.""",
,,,
systems,,"""I have two credit cards. I have never carried a balance on them and they're a big reason why I qualified for my mortgage. Credit cards aren't evil, you're just not using them correctly. """,
,,,
systems,,"""It is great for building credit. Far better than getting a car loan at like 20% interest """,
,,,
systems,,""" As long as the card is used responsibly, you’ll be fine, it sounds like you just used it irresponsibly """,
,,,
objects ,,"""Sectional couches are ruining social settings """,
,,,
objects,,""" The furniture should fit your families purpose and use of the room, not cater to having guests periodically""",
,,,
objects,,"""  I once lived in a small apartment whose living room would not really fit the sectional we got for free so we broke up the sections and arranged them around the coffee table against all 4 walls of the room. It was the perfect set up for gatherings""",
,,,
objects,,"""  The real problem is everyone’s place is set up to face the tv.  Having the TV is be the focal point kills everything.  My folks once set up a room with facing couches and everyone remarked how great it was for talking and my parents still changed it later, being the boomers they are. """,
,,,
objects ,,""" People need to get over the idea that criminal prosecution is about punishment, or even deterrence. That's not working. The reason people need to go behind bars when they commit a crime is to prevent them from having more victims.""",
,,,
objects ,,"""Every outdoor playground needs to have some sort of shade covering it at all times. """,
,,,
ideas,,"""The era of acceptance has created an opposite effect""",
,,,
ideas,,"
""I definitely believe that the more we label ourselves and each other we are splitting ourselves. Just look at how the us has become as a nation. This has definitely become more split as time passes. A lot of groups and people have been if you are not with me you are against me. Dropping family and loved ones just because they think or act differently than they themselves do. It’s sickening.""",
,,,
ideas,,""" In a rarity for this sub, this is actually well thought out.""",
,,,
ideas ,,"""I feel like a lot of that is because it’s been forced on us, creating the dislike for it  ",
,,,
systems,,""" To add to this, playing pretend stock investor is a great way to lose money instead. Ask why I know.",
,,,
systems,,"""For someone who doesn’t have the time, interest or energy to find individual stocks, the index fund is the better choice.""",
,,,
systems,,""" People get legitimately angry if you tell them you own an individual stock, No one gives a shit. Persecution complex. """,
,,,
systems,,"""The same people who believe they can beat the market are the same people who believe they can beat the casino. """,
,,,
people ,,"""Kevin Durant going to the Warriors was the best decision he could’ve made for his career """,
,,,
ideas ,,"""People who say I'm a good judge of character are almost always the easiest people to manipulate. """,