label,
ideas,"""People have the wrong idea about math and the benefit of learning math. """
ideas,"""Humans are naturally bi """
ideas,"""Growing older is not the curse people make it out to be. It's actually a blessing. """
ideas,"""In sports, there's no point in absolutely thrashing a demonstrably weaker team. Just do enough to win."""
ideas,"""The massive fear of being ""cringe"" is one of the biggest enemies of creativity. """
ideas,"""Unconditional love is the biggest lie """
ideas,"""The era of acceptance has created an opposite effect """
ideas,"""Quitting your job to chase a dream should be encouraged"""
ideas,"""Making friends in your 30s is not as hard as everyone claims it to be"""
ideas,"""Toxic Fandoms are inevitable sign of excellence and should be encouraged """
ideas,"""Everyone should be an archivist """
ideas,"""People who fantasize about living through an apocalypse or growing up in primitive times have no idea how ass living in times like that would actually be. """
ideas,"""The word ""dystopia"" is so overused that it detracts from the validity of otherwise valid points."""
ideas,"""Being dependent on cellphones isnt as big an issue as many think"""
ideas,"""Not every friendship is supposed to last forever. """
ideas,"""Darth Vader was justified and the jedi order was wrong from the beginning. """
ideas,"""Having fewer choices makes people happier"""
ideas,"""It’s rude to just slowly walk across an intersection when cars at a light/stop sign are waiting to turn."""
ideas,"""“The heart wants what it wants” is just an excuse for awful romantic choices """
ideas,"""To not stay current with technology is a moral failure """
ideas,"""I believe Wicked was completely ruined because it was casted with ""star-power"" rather than newer, undiscovered talent. I also think it would have grossed more money without the stars too."""
ideas,"""Half the bad decisions in the world happen just because someone wanted a power trip. """
ideas,"""Life is 90% how you take it and 10% how you make it. """
ideas,"""Marriage isn't bad and the people who say it is just don't know how to maintain a relationship """
ideas,"""Advertisements should be allowed to curse """
ideas,"""Friendzone is absolutely real """
ideas,"""The “Doghouse” Is Just a Cute Name for Having No Backbone in Your Relationship """
ideas,"""Life would be generally improved if people were taught statistics better """
ideas,"""Grammar nazis are annoying, but your proclamation is far too broad. It's akin to saying ""as long as you can get from point a to point b, it doesn't matter if the road is bumpy, the speed limits make no sense and the road signs are confusing"""""
ideas,"""The whole “watching someone sleep” trope is not very creepy at all"""
ideas,"""Okay but usually it's someone invading someone else's space to do it, like Edward in Twilight, that's the creepy part."""
ideas,""" Blind/deaf jokes are BORING """
ideas,"""The era of acceptance has created an opposite effect"""
ideas,"
""I definitely believe that the more we label ourselves and each other we are splitting ourselves. Just look at how the us has become as a nation. This has definitely become more split as time passes. A lot of groups and people have been if you are not with me you are against me. Dropping family and loved ones just because they think or act differently than they themselves do. It’s sickening."""
ideas,""" In a rarity for this sub, this is actually well thought out."""
ideas,"""Being 10 minutes early is just as inconsiderate as being 10 minutes late. """
ideas,"""Exercise should be prescribed with the same seriousness as medication. """
ideas,"""No one understands what introvert and extrovert mean. """
ideas,"""Asking if something is homemade or 'Did you make it yourself?' is an insult """
ideas,"""The Idea That ""Nobody Will Love You If You Don't Love Yourself"" Is Toxic """
ideas,"""We’ve reached a point where basic manners get labeled as ‘being a kiss-ass. """
ideas,"""If you do a kind thing for someone, telling the whole world about it erases the good deed. """
ideas,"""Cutting people off without a conversation isn't a sign of growth, healing, or protecting your peace. It's just avoiding communication. """
ideas,"""You should always buy the cheapest version of a tool or hobby item first. """
ideas,"""Subtitles take away from movies heavily """
ideas,"""People don't understand assumptions. """
ideas,"""People are results oriented. Commonly seen in gambling as well. """
ideas,"""Your comment somehow reads equal parts cringe, wannabe ""hype man"", and ""hello fellow kids"" in such a short sentence. I don't know how you did it."""
ideas,"""I feel like a lot of that is because it’s been forced on us, creating the dislike for it  "
ideas,"""People who say I'm a good judge of character are almost always the easiest people to manipulate. """
objects,"""A datacenter moving into your neighborhood is fine """
objects,"""Hot bus changes everything. I have smelled Popeye’s on the bus and felt deep hatred I’m so sorry Popeye it was the bus"""
objects,"""If locally-owned grocery stores want your money, they need to provide comparable prices to the corporations. """
objects,"""Chicago has a better cityscape than New York City """
objects,"""Iceberg is the worst lettuce"""
objects,"""You don’t understand architecture is not a valid defense of ugly buildings"""
objects,"""Vehicle Classes Are Ultra Important When OffRoading and Modifying Vehicles"""
objects,"""Possums are Cute!!! """
objects,"""Iron Lung and The Backrooms only did as well as they did because YouTubers made them."""
objects,"""McDonald's coffee is better than Starbucks"""
objects,"""Golf and tennis should not be 'silent' sports."""
objects,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere"""
objects,"""Big weddings are worth it. """
objects,"""BLUE DENIM IS NOT A NEUTRAL!!!!!! """
objects,"""Gift cards are one of the best gifts to recieve """
objects,"""McDonalds is the best fast food for losing weight. """
objects,Watching TV is always better in darkness than in light. 
objects,"""What's the most powerfully useful underground website that most people don't know about?"""
objects,"""Electron apps are completely adequate """
objects,"""Relaxing on a beach is horrible """
objects,"""Boiled eggs are the worst form of egg """
objects,"""The egg wgite doesn't have to be rubbery. The yolk doesn't have to be solid. Eggs can be boild a few ways and hard isn't one of them."""
objects,"""Instead of faster and faster PC hardware, we should fix screen technology to get more out of our gaming pc's"""
objects,"""It's not the old people, it's the overcomplicated new tech """
objects,"""Fresh cut flowers are a nightmarish waste of time and resources, and are not worth the aesthetics """
objects,"""All Houses should be Worth Millions "
objects,"""No-kill Animal Shelters have hobbled the ability of Animal Control to actually 'control' this problem. """
objects,"""Sports has to be most wasteful thing ever for society """
objects,"""Raisins are superior to chocolate chips in any sweet bake """
objects,"""Pimple patches look more gross than the pimple itself """
objects,"""Travelling abroad to only end up partying is pointless """
objects,"""Cloth car seats are better than leather. """
objects,"""Chocolate is the worst flavour """
objects,"""It's ok to like well done steak """
objects,"""American BBQ side salads taste better mixed """
objects,"""Hide and Seek as a game kinda sucks """
objects,"""All incense smells the same when you burn it. """
objects,"""Hide and Seek as a game kinda sucks"""
objects,"""Hotels Shouldn’t Have Bathtubs """
objects,"""We don't need light rail, or streetcars - we have buses, and you're just too classist to use them """
objects,"""after freshly baked, the best way to eat a croissant is microwaved"""
objects,"""Frosting is disgusting """
objects,"""Mega City views are more unique and thus beautiful than natural views """
objects,"""I recommend trying them in an Arab country, if you can’t, get an arab video tutorial on how to cook them and turn it on subtitles follow the instructions very clearly on how to cook them """
objects,"""Early 2000s metalcore is superior to modern metalcore """
objects,"""That game “gossip harbor “ and other related games should be removed from app stores or at least not shown in ads"""
objects,"""The reason every video game announcement is called bad is because not every game is made for you. """
objects,"""Spoilers don't ruin a movie or TV show. If a story is genuinely good, knowing it before-hand should not ruin the experience."""
objects,"""The original Star Wars trilogy is not as good as people think"""
objects,"""Personally, I think the bar for good horror is low at least compared to other genres like (children's) animation."""
objects,"""Dark mode is objectively worse for reading and focus than light mode."""
objects,"""At least i won't go blind from looking at white screen """
objects,""" The furniture should fit your families purpose and use of the room, not cater to having guests periodically"""
objects,"""  I once lived in a small apartment whose living room would not really fit the sectional we got for free so we broke up the sections and arranged them around the coffee table against all 4 walls of the room. It was the perfect set up for gatherings"""
objects,"""  The real problem is everyone’s place is set up to face the tv.  Having the TV is be the focal point kills everything.  My folks once set up a room with facing couches and everyone remarked how great it was for talking and my parents still changed it later, being the boomers they are. """
objects,"""Tuna fish isn't stinky and should be allowed to be eaten everywhere """
objects,"""All businesses should prioritize stalls over urinals """
objects,"""Uncooked smoores are better than cooked smoores"""
objects,"""Adult Diapers are way more convenient """
objects,"""Having permanent Christmas Lights installed on your house is tacky and takes away from what makes Christmas Lights special. """
objects,"""Computer games can be a very social activity and underpin an active, healthy social life """
objects,"""African Elephants should be called Loxodonts """
objects,""" I love taking baths on vacation in hotels when I have the time to relax. Plus, this is usually how people bath their kids."""
objects,"""I didn't realize people like toasted marshmallows that didn't catch fire for at least a few seconds."". "
objects,"""Sheep/lamb testicles are delicious """
objects,"""When I was in the Air Force, stationed at Malmstrom Air Force Base in Montana, I made sure that I never knew what I was eating when my hunter friends gave me food. This ensured that I was never biased before taking a bite. I would have never eaten bear, raccoon, rabbit and all the other critters they put in front of me on my own and they made everything taste great."
objects,""" A taxon is just a group. The elephants all belong to the family Elephantidae though. So, they are the same taxa. You are just prioritizing genus for some reason."""
objects,"""Opposition to the ""big light"" comes from everyone buying cheap ceiling lights """
objects,"""Sectional couches are ruining social settings """
objects,""" People need to get over the idea that criminal prosecution is about punishment, or even deterrence. That's not working. The reason people need to go behind bars when they commit a crime is to prevent them from having more victims."""
objects,"""Every outdoor playground needs to have some sort of shade covering it at all times. """
people,"""So was Prince, The Beatles, The Ring Stones. Whitney Hudson. The top of the list crowded. And Michael Jackson was not a good person. Not his fault entirely, but as a public figure, he was questionable at best. """
people,"""People who hog overhead bins with personal items and small bags are ruining flights for everyone."""
people,"""Women get shamed for spending money on skincear but nobody says anything when men drop thousands on sneakers, gaming setups, or golf clubs """
people,"""The only reason we are unhappy is that we constantly compare ourselves to others """
people,"""When I ask a question on a help forum, I don’t want to be texted a youtube video and told “Just watch this” ."""
people,"""You can always tell when the guitarist writes a song """
people,"""I Don't Think Artists Own ""Art Styles"". """
people,"""The hate that Dwayne the Rock Johnson gets is undeserved."""
people,"""Most adults are perfectly capable of getting themselves to and from the airport."""
people,"""People who lay on their horn for more than 10 seconds are worse than the person who made them honk """
people,"""The way people talk about getting your period for the first time is gross and antiquated """
people,"""Millionaires and billionaires are not inherently bad people. """
people,"""Michael Jackson was, is, and will be the greatest musician and public figure of all time """
people,"""Sitting “Indian Style” has nothing to do with Native Americans."""
people,"""Tobey Maguire wasn't a great Spider-Man """
people,"""Unpopular opinion but The Rolling Stones were never that good and were never in the same league as The Beatles """
people,"""I feel like people should stop treating 16-17 year olds like they're 5-10. """
people,"""micro toxic people are worse than fully toxic people """
people,"""People care too much about how others eat their food """
people,"""Shaming People for Forgiving Someone Is Weird """
people,"""Wanting to provide for someone, and for them to be happy, is COMPLETELY different from actually caring about them"""
people,"""People need to be more self aware about their bias. """
people,"""'Wreck of the Edmund Fitzgerald isn't Gordon Lightfoot's best song about a shipwreck"""
people,"""Tarantino's last great film was in 1997 """
people,"""Open toed shoes (ESP FLIP FLOPS) are the worse clothing item ever """
people,"""People expect adult mental capacity from children. """
people,Cruelty towards bugs should be treated at the same level as cruelty towards mammals.
people,"""Bryan Johnson’s longevity experiment is interesting and admirable and should not be mocked """
people,"""Showering before the gym is better """
people,"""Syd Barrett is mostly celebrated just because he had a tragic life. His music is not that good"""
people,"""People working in high finance should not be respected """
people,"""The hatred for participation trophies is one of the weirdest cultural obsessions we've created. """
people,"""People miss out on a lot playing games on easy mode and their opinion games doesn't weigh as much """
people,"""Jason Paige did nothing wrong."""
people,"""Breaking up via text or call is good for both sides """
people,"""Ive never minded getting broke up with over text or the phone."""
people,"""

As I get, I played video games. When I lost, it was INFURIATING. That was at 6. I understood winning and losing early. It's something all kids get."""
people,""" I felt the same. I was kinda onboard with what he was doing, but now that he’s selling a bunch of supplements I think he’s just doing it all to make more money, and market it is good for society"""
people,"""Kevin Durant going to the Warriors was the best decision he could’ve made for his career """
systems,"""It's July, have you started your Christmas shopping yet?"""
systems,"""I don't like holidays"""
systems,"""Cost of Living is more important than Schools and Healthcare when ranking States and Cities"""
systems,"""Saying that New York has no meaningful economic growth is laughable. Like actually I laughed out loud reading that. NYC alone is responsible for 10% of US GDP growth"""
systems,"""A cost of living metric that ignores the quality of the living in question is useless. """
systems,"""Y’all should stop fighting over what measurement system is “better”. """
systems,"""Going to university isn't worth it anymore"""
systems,"""Excess noise levels that you or your property creates, should be subject to a year end tax """
systems,"""HR are more benign than evil """
systems,"""Nepotism within the confines a family owned buisness isn't wrong. """
systems,"""People skills and “who you know” will always matter in the professional world, and that isn’t unfair """
systems,"""Only online school should be free."""
systems,"""Car inspections are pointless"""
systems,"""In some cases a no socks rule in the house makes sense. """
systems,"""Drivers should be required to pass a written and road test in order to renew their driver’s license every 10 years until they are 55, then every 5 years after that """
systems,"""USA consequences for driving without insurance are completely useless """
systems,"""SUV drivers should have to have higher Liability limits on their insurance """
systems,"""The society puts white- collar jobs on a pedastal but it is the skilled tradespeople that keeps everyday life functioning"""
systems,"""We should absolutely leave some children behind """
systems,"""Privately owned and operated companies are infinitely better than public ones """
systems,"""Unless they are tiny, most private companies have boards as well. Also law firms, consulting companies and whatnot are notorious for treating their employees terribly, and they are all private. """
systems,"""There aren't enough traffic wardens giving people tickets """
systems,"""Why does every parent need to pickup their child from school? Why don't kids take the bus? """
systems,"Why would having the ability to report and fine a legitimately/dangerously parked vehicle be a terrible idea?"""
systems,"""Single tax is used as an excuse to make couples pay more on group travel "
systems,"""Proposing at restaurants is weird. """
systems,"""Speed Cameras are a good thing."
systems,"""Idk, it doesn't take context into account, you could be going 10 over in the middle of the night with no one around and I just think it sets a bad precedent."""
systems,"""As someone who grew up in a city with speed cameras all over the town: it may start with a good intention, like what you are saying, but politicians will soon make it turn into revenue."""
systems,"""Living together before marriage is not necessary if you actually pay attention while dating"""
systems,"
“Again, if you don't come from a culture that prioritizes marriage you probably were not dating with the intention of marriage and really paying attention to their living habits.” Tells me everything I need to know about your condescending (not unpopular) opinion."""
systems,"""Credit card debt is the devil and all rich people's income by syphoning off the poor."""
systems,"""I have two credit cards. I have never carried a balance on them and they're a big reason why I qualified for my mortgage. Credit cards aren't evil, you're just not using them correctly. """
systems,"""It is great for building credit. Far better than getting a car loan at like 20% interest """
systems,""" As long as the card is used responsibly, you’ll be fine, it sounds like you just used it irresponsibly """
systems,""" To add to this, playing pretend stock investor is a great way to lose money instead. Ask why I know."
systems,"""For someone who doesn’t have the time, interest or energy to find individual stocks, the index fund is the better choice."""
systems,""" People get legitimately angry if you tell them you own an individual stock, No one gives a shit. Persecution complex. """
systems,"""The same people who believe they can beat the market are the same people who believe they can beat the casino. """